Frage,Bibelstelle,Antwort
Worin sehen wir nur rätselhafte Umrisse?,"1 Kor 13,12",Spiegel
Wer steht vor der Frau?,"Offb 12,4",Drache
Wohin will Paulus hier reisen?,"Römer 15, 24",Spanien
Ein Tier,"1 Petr 5,8",Löwe
Welche Frucht kommt hier zur Sprache?,"Mk 11, 13",Feige
Welcher Prophet wird hier genannt?,"Mt 3, 3",Jesaja
Wer hat hier Angst?,"Joh 19, 8",Pilatus
Wie heißt Agrippas Frau?,"Apg 25,23",Berenike
Von welchem scharfen Werkzeug ist hier die Rede?,"Offb 14,18",Sichel
Was sind Jesu Worte?,"Joh 6, 63",Geist und Leben
Wie nennt sich Jesus hier?,"Joh 9,5",Licht (der Welt)
Was gibt es zu tragen?,"Gal 6,2",Lasten
Wie wird Jesus verglichen,"Eph 2,20",Eckstein
Name einer Frau aus dem AT,"Hebr 11,21",Rahab
Name einer Stadt (in Syrien),"Apg 9,3",Damaskus
Was kommt aus den Mäulern der Pferde?,"Offb 9,17","Feuer, Rauch, Schwefel"
Wie heißt der Sohn?,"Phlm 1,10",Onesimus
Bauwerk,"1. Petr 2, 5",(lebendiges) Haus
Körperteil,"1. Petr 2,22",Mund
Paar aus dem AT,"1. Petr. 3, 6",Sara und Abraham
Was wird gejagt?,"1. Petr. 3, 11",Frieden
Wieviele Menschen wurden in der Arche gerettet?,"1. Petr. 3,20",acht
Gesucht ist ein Adjektiv (wie sollen wir sein?),"1. Petr. 4, 9",gastfreundlich
